2025/05/24 21:18:22 启动异动检测引擎...
2025/05/24 21:18:22 订阅行情数据主题: quotes
2025/05/24 21:42:07 接收行情数据: 601318.SH (53.23) 涨跌幅: -1.13%, 成交量: 430491
2025/05/24 21:42:27 接收行情数据: 000001.SZ (11.46) 涨跌幅: -0.78%, 成交量: 962643
2025/05/24 21:42:27 接收行情数据: 600000.SH (12.23) 涨跌幅: -1.61%, 成交量: 579616
2025/05/24 21:42:27 接收行情数据: 601318.SH (53.23) 涨跌幅: -1.13%, 成交量: 430491
2025/05/24 21:42:49 接收行情数据: 000001.SZ (11.46) 涨跌幅: -0.78%, 成交量: 962643
2025/05/24 21:42:49 接收行情数据: 600000.SH (12.23) 涨跌幅: -1.61%, 成交量: 579616
2025/05/24 21:42:49 接收行情数据: 601318.SH (53.23) 涨跌幅: -1.13%, 成交量: 430491
2025/05/24 21:43:08 接收行情数据: 000001.SZ (11.46) 涨跌幅: -0.78%, 成交量: 962643
2025/05/24 21:43:08 接收行情数据: 600000.SH (12.23) 涨跌幅: -1.61%, 成交量: 579616
2025/05/24 21:43:08 接收行情数据: 601318.SH (53.23) 涨跌幅: -1.13%, 成交量: 430491
2025/05/24 21:43:28 接收行情数据: 000001.SZ (11.46) 涨跌幅: -0.78%, 成交量: 962643
2025/05/24 21:43:28 接收行情数据: 600000.SH (12.23) 涨跌幅: -1.61%, 成交量: 579616
2025/05/24 21:43:28 接收行情数据: 601318.SH (53.23) 涨跌幅: -1.13%, 成交量: 430491
2025/05/24 21:43:49 接收行情数据: 000001.SZ (11.46) 涨跌幅: -0.78%, 成交量: 962643
2025/05/24 21:43:49 接收行情数据: 600000.SH (12.23) 涨跌幅: -1.61%, 成交量: 579616
2025/05/24 21:43:49 接收行情数据: 601318.SH (53.23) 涨跌幅: -1.13%, 成交量: 430491
2025/05/24 21:44:08 接收行情数据: 000001.SZ (11.46) 涨跌幅: -0.78%, 成交量: 962643
2025/05/24 21:44:08 接收行情数据: 600000.SH (12.23) 涨跌幅: -1.61%, 成交量: 579616
2025/05/24 21:44:08 接收行情数据: 601318.SH (53.23) 涨跌幅: -1.13%, 成交量: 430491
2025/05/24 21:44:28 接收行情数据: 000001.SZ (11.46) 涨跌幅: -0.78%, 成交量: 962643
2025/05/24 21:44:28 接收行情数据: 600000.SH (12.23) 涨跌幅: -1.61%, 成交量: 579616
2025/05/24 21:44:28 接收行情数据: 601318.SH (53.23) 涨跌幅: -1.13%, 成交量: 430491
2025/05/24 21:44:50 接收行情数据: 000001.SZ (11.46) 涨跌幅: -0.78%, 成交量: 962643
2025/05/24 21:44:50 接收行情数据: 600000.SH (12.23) 涨跌幅: -1.61%, 成交量: 579616
2025/05/24 21:44:50 接收行情数据: 601318.SH (53.23) 涨跌幅: -1.13%, 成交量: 430491
2025/05/24 21:45:08 接收行情数据: 000001.SZ (11.46) 涨跌幅: -0.78%, 成交量: 962643
2025/05/24 21:45:08 接收行情数据: 600000.SH (12.23) 涨跌幅: -1.61%, 成交量: 579616
2025/05/24 21:45:08 接收行情数据: 601318.SH (53.23) 涨跌幅: -1.13%, 成交量: 430491
2025/05/24 21:45:28 接收行情数据: 000001.SZ (11.46) 涨跌幅: -0.78%, 成交量: 962643
2025/05/24 21:45:28 接收行情数据: 600000.SH (12.23) 涨跌幅: -1.61%, 成交量: 579616
2025/05/24 21:45:28 接收行情数据: 601318.SH (53.23) 涨跌幅: -1.13%, 成交量: 430491
2025/05/24 21:45:48 接收行情数据: 000001.SZ (11.46) 涨跌幅: -0.78%, 成交量: 962643
2025/05/24 21:45:48 接收行情数据: 600000.SH (12.23) 涨跌幅: -1.61%, 成交量: 579616
2025/05/24 21:45:48 接收行情数据: 601318.SH (53.23) 涨跌幅: -1.13%, 成交量: 430491
2025/05/24 21:46:08 接收行情数据: 000001.SZ (11.46) 涨跌幅: -0.78%, 成交量: 962643
